fitur_aktif,jumlah_fitur,MAE,MAPE,R2
"ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",5,5.54422360209848,4.52175523100256,0.7837716442977471
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",6,5.713737453591617,4.658211313200444,0.7770564900365446
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,5.723460876513332,4.65681801382615,0.7754879982108432
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cm10",4,5.724251183212274,4.6787736923944845,0.7712370802368039
"ecg_sf, ecg_skewness, ecg_complexity, ecg_cm10",4,5.886987425343027,4.77813867262347,0.7639797121449949
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",7,5.979303305891859,4.863289549898809,0.761970112431349
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cm10",5,5.969433919289757,4.869576101335073,0.7617274955384259
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",5,5.9314117070218035,4.838751698835581,0.7616676089452767
"ecg_sf, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",5,6.10037680064569,4.937541760646569,0.7556659999996879
"ecg_mean, ecg_sf, ecg_skewness, ecg_complexity, ecg_cm10",5,6.145090713478615,4.981720963911999,0.751733896498769
"ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",4,5.939420005649716,4.831628709525429,0.750560444015677
"ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity",4,5.923939071832127,4.830429302012459,0.7496550207115837
"ecg_sf, ecg_mobility, ecg_complexity, ecg_cm10",4,5.880041927360784,4.787233898956074,0.7494836025545657
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",6,6.2998458498789445,5.126528026792603,0.7452836994697248
"ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",5,6.1787891146085565,5.020856759479564,0.740100788986199
"ecg_mean, ecg_mobility, ecg_skewness, ecg_complexity, ecg_cm10",5,6.1949901105730385,5.036533208189446,0.7398335862060799
"ecg_mean, ecg_sf, ecg_mobility, ecg_complexity, ecg_cm10",5,6.114902945117038,4.974236394422206,0.7387075152103246
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_complexity",5,6.181836008878132,5.035834491114581,0.73860148474689
"ecg_sf, ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",5,6.13356556577886,4.978182965530591,0.7383261191974575
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,6.482872594027447,5.245611774461452,0.7370386847967088
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",5,6.194589435835357,5.049174532732663,0.7361616805556355
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",6,6.532659525423728,5.296585949118594,0.7228208142826915
"ecg_mean, ecg_sf, ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",6,6.42064121872478,5.212624168779676,0.7223845528181414
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",6,6.485658753833741,5.2667705445533,0.7221214364108237
"ecg_mobility, ecg_skewness, ecg_cm10",3,6.615894281364796,5.373402397045189,0.7178360554576992
"ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",4,6.659606383373682,5.4107074579015695,0.7109465863138227
"ecg_sf, ecg_skewness, ecg_cm10",3,6.777325842528467,5.51223874379468,0.7109126667379977
"ecg_sf, ecg_skewness, ecg_cv, ecg_cm10",4,6.795492485068608,5.515101076804753,0.7099402159586458
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cm10",4,6.68162359483454,5.43199018922091,0.7094998302395674
"ecg_mean, ecg_sf, ecg_skewness, ecg_cm10",4,6.827816696529458,5.550511958926161,0.707078247609124
"ecg_skewness, ecg_complexity, ecg_cm10",3,6.703931107181974,5.422421079786701,0.7063525114477454
"ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",4,6.771960920903958,5.477105893414788,0.7020982542142246
"ecg_mean, ecg_skewness, ecg_complexity, ecg_cm10",4,6.798319383373688,5.505874496586684,0.7005111018086152
"ecg_sf, ecg_skewness, ecg_complexity",3,6.753459242130758,5.4725383435279635,0.70040549632329
"ecg_sf, ecg_skewness, ecg_cv, ecg_complexity",4,6.881860569007263,5.562831579642754,0.698115669151858
"ecg_sf, ecg_mobility, ecg_skewness",3,6.714334037933822,5.494315965505354,0.6962396682164202
"ecg_mean, ecg_sf, ecg_skewness, ecg_complexity",4,6.898954736884589,5.5821437542777375,0.6938395628087679
"ecg_sf, ecg_mobility, ecg_cm10",3,6.801664354581763,5.561647586554592,0.6933006384476469
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cv, ecg_cm10",5,7.01241234705407,5.688051423719775,0.6902542347210403
"ecg_mean, ecg_sf, ecg_mobility, ecg_cm10",4,6.772047812752225,5.527446277749371,0.6900362493502826
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv, ecg_cm10",5,7.191167849071834,5.836173370761198,0.6897197984723782
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness",4,6.835578687651332,5.576497877431864,0.6881315093258809
"ecg_sf, ecg_mobility, ecg_cv, ecg_cm10",4,6.781626581920916,5.530717153398683,0.6869911777560157
"ecg_sf, ecg_mobility, ecg_skewness, ecg_cv",4,6.8393342647296285,5.581870299762718,0.684359782398218
"ecg_sf, ecg_mobility, ecg_complexity",3,6.952629379338178,5.70282254231055,0.6805575800863042
"ecg_mobility, ecg_complexity, ecg_cm10",3,6.873094202927521,5.560396111508313,0.67984068274685
"ecg_mean, ecg_skewness, ecg_cv, ecg_complexity, ecg_cm10",5,7.260629803874093,5.866002275616002,0.6778264095790225
"ecg_mean, ecg_sf, ecg_mobility, ecg_complexity",4,7.01078409846651,5.740245522325923,0.6768605432810944
"ecg_mean, ecg_mobility, ecg_complexity, ecg_cm10",4,6.924227569814363,5.606987473922084,0.676289335400087
"ecg_mean, ecg_sf, ecg_mobility, ecg_cv, ecg_cm10",5,7.076761372074264,5.7661243367723145,0.6747782770327064
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv, ecg_complexity",5,7.312572942695714,5.905660770448741,0.6743063950073855
"ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",4,6.94609443583535,5.611382757279381,0.6735718339384384
"ecg_sf, ecg_mobility, ecg_cv, ecg_complexity",4,7.054483739305895,5.769728043914268,0.6724283836410498
"ecg_mean, ecg_sf, ecg_mobility, ecg_skewness, ecg_cv",5,7.199965710250204,5.866875329460186,0.6659747583396887
"ecg_sf, ecg_complexity, ecg_cm10",3,7.187098411200621,5.819741670728839,0.6641241618843587
"ecg_sf, ecg_cv, ecg_complexity, ecg_cm10",4,7.234837416464888,5.846746785035215,0.6638950028594861
"ecg_mean, ecg_mobility, ecg_cv, ecg_complexity, ecg_cm10",5,7.289608210653748,5.888976695420746,0.6584968369824218
"ecg_mean, ecg_sf, ecg_complexity, ecg_cm10",4,7.306413346246976,5.912090683468774,0.6565785485540866
"ecg_mean, ecg_sf, ecg_mobility, ecg_cv, ecg_complexity",5,7.360584065375305,6.001118645495438,0.6563879136082746
"ecg_mean, ecg_sf, ecg_cv, ecg_complexity, ecg_cm10",5,7.580092838579503,6.1301156039833,0.6453825436526128
"ecg_mobility, ecg_skewness, ecg_complexity",3,7.421481491525413,5.999945793345333,0.6233032185712031
"ecg_mean, ecg_mobility, ecg_skewness, ecg_complexity",4,7.5264717102501955,6.078084786319957,0.6190169208746195
"ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",4,7.5893291573849755,6.132088665047164,0.611176980284732
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cv, ecg_complexity",5,7.8898622171105695,6.367631195244266,0.5975753570719791
"ecg_skewness, ecg_cm10",2,8.393517549818018,6.773033847538057,0.5754590217270771
"ecg_mean, ecg_mobility, ecg_cv, ecg_cm10",4,8.43593873042778,6.82524101649296,0.5729850282168826
"ecg_mobility, ecg_cm10",2,8.29294087873664,6.7146319200096825,0.5724789172985174
"ecg_mean, ecg_skewness, ecg_cv, ecg_cm10",4,8.761227465698138,7.0770792591652105,0.5600174982473276
"ecg_mean, ecg_mobility, ecg_cm10",3,8.687269522166385,7.036749484562231,0.5572777844095362
"ecg_complexity, ecg_cm10",2,8.509065335834423,6.852925237494026,0.5545160989717206
"ecg_mean, ecg_sf, ecg_mobility, ecg_cv",4,8.731352742534316,7.15116785923667,0.5470528882437972
"ecg_sf, ecg_mobility",2,8.505812569007274,6.9967889019115574,0.540863682024275
"ecg_mean, ecg_cv, ecg_complexity, ecg_cm10",4,8.879342072639226,7.156697193491306,0.5385473352427462
"ecg_mean, ecg_sf, ecg_mobility",3,8.934011056497186,7.309355704987823,0.5375560909928092
"ecg_sf, ecg_skewness",2,8.744167174334143,7.110433946310437,0.5364747680273431
"ecg_mean, ecg_skewness, ecg_cm10",3,9.045975137936203,7.301906871057216,0.5349665214376276
"ecg_mobility, ecg_cv, ecg_cm10",3,9.063541411891336,7.333217031944102,0.52855892061593
"ecg_skewness, ecg_cv, ecg_cm10",3,9.152122362375689,7.382797292602247,0.5216747999583506
"ecg_mean, ecg_complexity, ecg_cm10",3,9.18176672480998,7.398708207071175,0.5148550736148313
"ecg_sf, ecg_mobility, ecg_cv",3,9.133730550122998,7.473245760489078,0.5131023862093302
"ecg_mean, ecg_sf, ecg_skewness, ecg_cv",4,9.205173594834548,7.468451437895343,0.5083454747025524
"ecg_cv, ecg_complexity, ecg_cm10",3,9.407779317288826,7.588456303107496,0.4987892871679337
"ecg_mean, ecg_sf, ecg_skewness",3,9.30486004196934,7.558945836900052,0.4975989374412999
"ecg_mean, ecg_sf, ecg_cv, ecg_complexity",4,9.541465974172715,7.722042379890366,0.4790506869074054
"ecg_mean, ecg_mobility, ecg_skewness, ecg_cv",4,9.369297573042767,7.580741905448406,0.47641431460902994
"ecg_sf, ecg_skewness, ecg_cv",3,9.66424396481855,7.84055117368081,0.47393648466209837
"ecg_mean, ecg_mobility, ecg_cv, ecg_complexity",4,9.407974950766747,7.63997603345726,0.4736754767852466
"ecg_sf, ecg_complexity",2,9.330326207425351,7.561082584456473,0.47237611070118435
"ecg_mean, ecg_sf, ecg_complexity",3,9.696885432606942,7.843615307462862,0.466894332801009
"ecg_mean, ecg_mobility, ecg_complexity",3,9.489676743341406,7.704352657949441,0.466210944386647
"ecg_mobility, ecg_complexity",2,9.075316486682793,7.4079956024197005,0.4560560945256117
"ecg_mobility, ecg_skewness",2,9.40611308474576,7.646595656462339,0.44342777204929107
"ecg_mean, ecg_mobility, ecg_skewness",3,9.736714336561732,7.894142132399877,0.4427562055550953
"ecg_mobility, ecg_cv, ecg_complexity",3,9.920091726881036,8.041780731170693,0.43269510693690905
"ecg_mean, ecg_skewness, ecg_cv, ecg_complexity",4,9.794966095238085,7.895837935096528,0.42962994970122503
"ecg_sf, ecg_cv, ecg_complexity",3,10.124087378302638,8.210445823715576,0.4268022427599871
"ecg_mobility, ecg_skewness, ecg_cv",3,10.014221567338613,8.111416298322533,0.4252006727295251
"ecg_mean, ecg_skewness, ecg_complexity",3,10.03717198385794,8.111640039450354,0.41973314228986003
"ecg_mean, ecg_sf, ecg_cv, ecg_cm10",4,10.273420604519774,8.341794537118888,0.4158760690929152
"ecg_sf, ecg_cm10",2,9.862337966167079,7.985301814695826,0.41269267578195645
"ecg_skewness, ecg_complexity",2,9.561774940274416,7.7144026497072655,0.4087312746990507
"ecg_mean, ecg_sf, ecg_cm10",3,10.336009960636558,8.383496339994547,0.4038663090912131
"ecg_skewness, ecg_cv, ecg_complexity",3,10.416963057105404,8.394532234256594,0.38420929193720943
"ecg_sf, ecg_cv, ecg_cm10",3,10.851787196645954,8.820754181263986,0.3588567108074997
"ecg_mean, ecg_mobility, ecg_cv",3,11.56525623250613,9.381200684809588,0.28269843671658557
"ecg_mean, ecg_skewness, ecg_cv",3,12.19699063295151,9.904314627146729,0.22114504370380406
"ecg_mean, ecg_cv, ecg_complexity",3,12.15114940049637,9.818002449891754,0.19509265814394516
"ecg_mean, ecg_cv, ecg_cm10",3,12.790225714194413,10.392166933050378,0.15984391816639865
"ecg_mean, ecg_mobility",2,13.026709404358343,10.562724429202715,0.12350483452655481
"ecg_mobility, ecg_cv",2,13.094762675228099,10.67939128839887,0.12150924224329285
"ecg_mean, ecg_complexity",2,12.965890263922498,10.487166835409113,0.1197850854343
"ecg_mean, ecg_sf, ecg_cv",3,13.089862758765907,10.629556982584,0.09973322563843678
"ecg_mean, ecg_skewness",2,13.335791266343822,10.865318703960519,0.09869778801501417
"ecg_cv, ecg_complexity",2,13.094665722457925,10.606807729228704,0.09438233708115651
"ecg_skewness, ecg_cv",2,13.41292879717324,10.899114411629178,0.08165686733366595
"ecg_mean, ecg_cm10",2,13.486570080104645,10.945210647389692,0.05820516606100601
"ecg_mean, ecg_sf",2,13.597992414850669,11.039205482347196,0.05414916579385909
"ecg_sf, ecg_cv",2,13.951756551142717,11.34882426484807,0.0074344675374768965
"ecg_cv, ecg_cm10",2,13.854504637421442,11.22162469401807,0.004704251378037094
"ecg_mean, ecg_cv",2,14.685012212887534,11.892931513777793,-0.08602224994372798
ecg_skewness,1,14.482650173917126,11.78142122374181,-0.09659174334431153
ecg_cm10,1,14.672945322681196,11.834251774575185,-0.15984216753776725
ecg_mobility,1,14.720607872962061,11.951340245862788,-0.16258743567987244
ecg_complexity,1,15.010297014347222,12.109910904961051,-0.17825594908407738
ecg_sf,1,15.94354274888158,12.915743169561742,-0.29244215076137703
ecg_cv,1,16.758911868790733,13.605985519499239,-0.36412682038367095
ecg_mean,1,17.740823034891793,14.418808434983108,-0.4790202267025685
